text,Predictions
"Bike cabs beware! You've got nothing on this rig! 

Tour de Tavern is a tribute to tipsy teamwork and a perfect way to host a unique group event. As ""pedalers"" on their inaugural tour, we enjoyed the celebrity treatment of cruising down the winding streets of Old Town Scottsdale as onlookers snapped photos and cheered us on!

We rocked out to top 40 hits and, by special request, our Lonely Island favorites on their awesome sound system. Our guides were flexible and let our party run the show. If we needed more time for let's say...... an impromptu horseback ride in front of Shotgun Betty's, they were more than happy to wait. 

As an added bonus everyone gets to burn off some of those unwanted cocktail calories in between your favorite watering holes. If you are concerned that after a few stops (and a few shots) your legs might lose some of that forward momentum, there are a few coveted ""non pedaling"" seats in the back of the bike. We all compromised with a friendly and fair rotation system. 

Our tour guides were helpful, accommodating, and entertaining. They even proved to be exceedingly patient upon discovering that we did in facts have ""that guy"" in our group. 

If you're saying to yourself,  ""Such a marvelous experience could only cost an arm and least the majority of a leg"" then you would be wrong! With the cost of gas being substituted for sheer earth friendly man power, our group of fifteen people spent less than $30 bucks each for the experience.

But wait, there's more! Included in this price are all the amazing special deals that Tour de Tavern exclusively brings you at select bars along the route. On our tour we were offered drinks specials ranging from $3 to ONE PENNY!  I say this in all caps because it's ONE PENNY!

So next time you are planning an event, I recommend Tour de Tavern 100%!

""Look Ma! No hands!""",5
"This Ace Hardware is another gem for the locationally challenged Desert Ridge residents of which I am a part of.

The staff is helpful, they've always had what I needed and it's located in a plaza with several good restaurants, a gas station, Starbucks and a Safeway. 

It's so much better than running The Home Depot for an item you need, but will never be able to find on your own. That's the great thing about Ace, you can always get help when you need it.",4
"There is a certain sense of nostalgia that exudes from Phoenix Muni that you don't really get at the newer Spring Training facilities in Arizona. True, it is the oldest still in use, but it feels more intimate and more geared towards the spirit of seeing your team before the season starts. It's less about business and more about getting back into the swing of the things, having a few laughs on the basepads and shaking hands with the people who really live and die by their fandom. 

Most of the seats beyond 1B and #b sides are benches, another throwback, but really, there isn't a bad seat to watch a game. Get there early if you're into meeting players and getting autographs and also be prepared to wait in lines for food or drink. Even when ALL the stands are open, they are not enough to service a packed house of hungry fans. 

Bring cash, only a few places accept card.",4
"We were shopping at the Bass Pro Shop in Tempe and decided to go for ice cream to kill some time before dropping my parents off at the airport. I pulled out my iPad and 'yelped' ice cream. It brought up 4 options in the area and we chose Dairy Queen which was a few blocks away.

As luck would have it there was no left turn onto Dobson and we ended up going East on the 202 the opposite direction of the Dairy Queen.  So I searched again and we came up with Yogurtland.  It wasn't luck after all but some ice cream higher power at work to bring us to our frozen yogurt oasis in Yogurtland.  Not only were the ingredients fresh and delicious but the price was reasonable as well. 5 of us each had a scrumptious & generously portioned sundae and our total bill was less than $20!

We all enjoyed our selections.  One topping surprise was the Fruit Pebbles cereal my daughter put on her sundae.  The fruity crunch they added was delish!  

Yogurtland was a home run!  Thanks For the Yelp!",5
"I will never make another purchase from this company ever again! The company tried to deliver damaged furniture to my home and then gave me the run around about processing a refund when I refused to accept the items. After 5 phone conversations, they agreed to refund me for refusing damaged items. I cannot recommend this to anyone.",1
"Fez is RIGHT down the street from where I work, hence due to its location + general fabulousness, it has become a regular spot for happy hour.

Here's What we LOVE about Fez:
-Sweet Potato Fries (sooo good--sprinkled with cinnamon by the way)
-Kisra and Hummus!
-The Black Bean Burger (the first time I ordered it, I asked the server: ""Now, is this one of those really bad black bean burgers or does it actually taste good?""  She said, ""I totally know what you mean, no this one is good.""-and she was right!)
-Margarita Mondays (aka 2 for one Margaritas--check out the pomegranate one!!)
-The atmosphere--blue and green tones while still being warm
-The friendly service
-The close proximity to light rail

Here's what we don't like as much:
-The slow service (sometimes it gets kind of bad, I feel like you have to be an active restaurant goer and hail down your server--otherwise you may never get to order, get more water/another drink, or get your check)
-When happy hour ends (I mean, who likes that anywhere?)

Fez makes me very happy to work in downtown Phoenix.",4
"I've eaten here many times, but none as bad as last night.
Service was excellent, and highly attentive.
Food, absolutely horrible.

My expectation was they would serve a steak on par with their seafood. After all, they were charging 39 bucks for a ribeye. 
What I was hoping for was a 1- 1-1/2' thick steak, cooked Pittsburgh style as I had ordered. 
What I got a a 3/4 in thick piece of meat that was mostly fat, gristle, and in no way resembled Pittsburgh Style. 
Salad, similar to something you could get at Chick Filet
Veggies, blah.
Bread basket, ample, but day old, and if not, it certainly wasn't fresh. 

In addition to bad food, we were crammed into a small room where we were nuts to butts with 6 other tables, listening to conversations ranging from someone's recent bout with pinkeye, and another couple who elected to speak entirely in French, until the waiter showed up, then it was like they turned off the French switch and suddenly began speaking English. 

I've had it with this place.
If I'm going to pay 150 bucks for dinner, it'll be at Mortons, or Maestro where the steaks are 1-1/2 in thick, cooked to perfection, and half of it doesnt wind up on the plate as fat and gristle",4
"We went on a Saturday night and the place was completely dead. There was only one other couple in the entire restaurant section. Very nice decor, but the food was mediocre at best. The only reason this place gets 3 stars is because the service was outstanding.",4
"This has to be the best Thai food around. I have tried a few other places, but none are as authentic and delicious as Swaddee. We are now regulars and have never been disappointed.",5
"Drive through or dine in. The drive-thru wait for your order can seem overlong. I'm a fan of their carne asada burritos and their chicken burritos - very tasty. Also their breakfast burritos. They use real tortillas, not gummy doughy ones like fast food joints use. All the burritos are huge - really two meals worth of food. But, they're not careful about removing gristle from the meat or excess liquid from the spoon before wrapping up your burrito. So if you're a picky eater or you don't like messy food, don't get any kind of burrito. Burgers and Philly cheese steak sandwiches are also pretty good. They have a big variety on the menu actually. It's a greasy spoon, and I do mean greasy, but was a weekly stop when I worked nearby.",4
"Got to give them four stars, 
Above the crowed, cooked to order food here is simply great.
Yes butter burger is a fun time but the real mean is their entrees 

Fried Chicken and Fried Cod, they keep their fries clean and use a great breading recipe,  try it you'll be back for more.

The beef is ok, sometimes a little salty.  

mixers,
not the biggest fan but they hit the spot when you need to.  be creative and make your own mixer.  

Service,
well its ok, they do bring it to your table and when you do a drive thru don't expect this to be Wendy's, it will take some time depending on what you order.  Your given a number and a nice high school student will bring some food to you.
The service seems to be young here, they just like hiring someone looking for their 1st job or so.  No this does not create the best service but creates, our local future.  giving a younger kid a job is not easy to do and these kids will move onto another job and keep working this is good karma for Culver's Phoenix  and shows an investment in the town.  

I choose to review this location because it has been around.  I used to go out of my way to find a Culver's.  now they are popping up around town.  As a Midwest person this is great to see.  This is mid west food, comforting a little greasy but dedicated to a great meal.  

kevin",4
"I've been giving a lot of 5-star reviews lately, but (in my opinion) they all deserve it.  

Movies on Central RULES.  They have 99.9% of every movie title we've looked for.  Since summer started, we've been in there at least once a week.  Bonus:  they have a water cooler right by the door.  Sweet!",5
"Not that good, not that bad.  So-so, more or less.

Stopped by here for lunch the other day, I had the BBQ chicken lunch.  Overall a pretty bland taste, but maybe that is just the style.  If I ever end up here again I may try something else, but I won't be going out of my way to do so.",4
